epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,145.417,0.7864,0.96299,1.32839,0.76581,0.4,0.42494,0.30136,1.74783,2.36832,1.46133,2.35472e-05,2.35472e-05,2.35472e-05
76,147.193,0.59433,0.71704,1.08174,0.76581,0.4,0.42494,0.30136,1.74783,2.36832,1.46133,2.29819e-05,2.29819e-05,2.29819e-05
77,148.95,0.71991,0.9463,1.16726,0.76581,0.4,0.42494,0.30136,1.74783,2.36832,1.46133,2.23929e-05,2.23929e-05,2.23929e-05
78,150.727,0.55897,0.73448,1.03999,0.89619,0.4,0.42613,0.30215,1.7647,2.36717,1.46358,2.17805e-05,2.17805e-05,2.17805e-05
79,152.46,0.65025,0.93879,1.12303,0.89619,0.4,0.42613,0.30215,1.7647,2.36717,1.46358,2.11444e-05,2.11444e-05,2.11444e-05
80,154.196,0.72299,0.73278,1.23403,0.89619,0.4,0.42613,0.30215,1.7647,2.36717,1.46358,2.04848e-05,2.04848e-05,2.04848e-05
81,155.975,0.56866,0.55409,1.1071,0.8729,0.4,0.42759,0.30099,1.76423,2.36847,1.46402,1.98016e-05,1.98016e-05,1.98016e-05
82,157.712,0.59943,0.63144,1.08667,0.8729,0.4,0.42759,0.30099,1.76423,2.36847,1.46402,1.90949e-05,1.90949e-05,1.90949e-05
83,159.473,0.59191,0.82567,1.08467,0.8729,0.4,0.42759,0.30099,1.76423,2.36847,1.46402,1.83646e-05,1.83646e-05,1.83646e-05
84,161.259,0.71131,0.68687,1.02908,0.86243,0.4,0.42813,0.30304,1.76655,2.37476,1.46355,1.76107e-05,1.76107e-05,1.76107e-05
85,163.001,0.63929,0.62128,1.09927,0.86243,0.4,0.42813,0.30304,1.76655,2.37476,1.46355,1.68333e-05,1.68333e-05,1.68333e-05
86,164.832,0.88148,0.93928,1.37089,0.86243,0.4,0.42813,0.30304,1.76655,2.37476,1.46355,1.60323e-05,1.60323e-05,1.60323e-05
87,166.611,0.49031,0.72813,1.03199,0.86243,0.4,0.42813,0.30304,1.76655,2.37476,1.46355,1.52077e-05,1.52077e-05,1.52077e-05
88,168.472,0.79359,1.06237,1.20543,0.85475,0.4,0.4285,0.30321,1.76408,2.3761,1.45899,1.43596e-05,1.43596e-05,1.43596e-05
89,170.265,0.56196,0.57911,1.06642,0.85475,0.4,0.4285,0.30321,1.76408,2.3761,1.45899,1.34879e-05,1.34879e-05,1.34879e-05
90,172.011,0.49122,0.48158,0.97264,0.85475,0.4,0.4285,0.30321,1.76408,2.3761,1.45899,1.25927e-05,1.25927e-05,1.25927e-05
91,173.774,0.5462,0.47311,1.00447,0.85475,0.4,0.4285,0.30321,1.76408,2.3761,1.45899,1.16739e-05,1.16739e-05,1.16739e-05
92,175.554,0.61796,0.53611,0.93325,0.85981,0.4,0.42854,0.3038,1.75214,2.38637,1.43994,1.07315e-05,1.07315e-05,1.07315e-05
93,177.313,0.5519,0.56509,1.07631,0.85981,0.4,0.42854,0.3038,1.75214,2.38637,1.43994,9.76562e-06,9.76562e-06,9.76562e-06
94,179.074,0.4763,0.53017,0.93047,0.85981,0.4,0.42854,0.3038,1.75214,2.38637,1.43994,8.77613e-06,8.77613e-06,8.77613e-06
95,180.829,0.48514,0.53916,0.95287,0.85981,0.4,0.42854,0.3038,1.75214,2.38637,1.43994,7.76308e-06,7.76308e-06,7.76308e-06
96,182.699,0.48745,0.4975,0.9264,0.89704,0.4,0.42701,0.30645,1.73989,2.40159,1.43053,6.72648e-06,6.72648e-06,6.72648e-06
97,184.492,0.63904,0.62419,1.01884,0.89704,0.4,0.42701,0.30645,1.73989,2.40159,1.43053,5.6663e-06,5.6663e-06,5.6663e-06
98,186.226,0.56682,0.51947,0.94381,0.89704,0.4,0.42701,0.30645,1.73989,2.40159,1.43053,4.58257e-06,4.58257e-06,4.58257e-06
99,188.131,0.54004,0.50292,1.01051,0.89704,0.4,0.42701,0.30645,1.73989,2.40159,1.43053,3.47528e-06,3.47528e-06,3.47528e-06
100,190.064,0.42838,0.50654,0.96965,0.95198,0.39767,0.42663,0.30687,1.71564,2.48831,1.42945,2.34442e-06,2.34442e-06,2.34442e-06
